페미위키 링크	이름	공식명칭	지역	분류	학교	홈페이지	인스타그램	페이스북	링크트리	트위터	연대단위	현재투쟁중	활동중지발표
https://femiwiki.com/?curid=76750	민주노총 여성위원회			페미니즘							젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=9038	믿는페미			페미니즘									
https://femiwiki.com/?curid=76751	바람	인권운동네트워크 바람		페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76959	박.하.여.행	대한민국의 민주주의를 부정한 박근혜 대통령의 하야와 사회운동내의 성차별을 바꾸기 위한 여성주의자들의 행동		페미니즘				https://www.facebook.com/hayafeminist/					
https://femiwiki.com/?curid=76752	반니	반성폭력 운동하는 언니들 반니		페미니즘							윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76753	백마 탄 암탉님	숭실대학교 숭실대학교 페미니즘 소모임 백마 탄 암탉님	서울	페미니즘	숭실대학교		https://www.instagram.com/_kkokkio/			https://twitter.com/kkokkiossu			
https://femiwiki.com/?curid=7247	범페미네트워크			페미니즘									
https://femiwiki.com/?curid=76754	변태소녀 하늘을 날다	이화여자대학교 레즈비언인권운동모임 변태소녀 하늘을 날다	서울	퀴어	이화여자대학교	https://m.blog.naver.com/PostList.naver?blogId=ewhabyunnal	https://www.instagram.com/ewhabyunnal/?hl=ko			https://twitter.com/ewhabyunnal			
https://femiwiki.com/?curid=76755	별조각 용사단			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76756	보라	경기대학교 여성주의 모임 보라	수원	페미니즘	경기대학교					https://twitter.com/kgu_bora			
https://femiwiki.com/?curid=1905	봄알람												
https://femiwiki.com/?curid=76757	부산대학교 여성연구소			페미니즘	부산대학교	http://women.pusan.ac.kr/							
https://femiwiki.com/?curid=76758	부산성폭력상담소		부산	페미니즘		http://wopower30.or.kr/					한국여성단체연합		
https://femiwiki.com/?curid=76759	부산여성단체연합		부산	페미니즘		http://www.xn--2y1b85n7tc0oy75e.com/					한국여성단체연합		
https://femiwiki.com/?curid=76760	부산여성의전화			페미니즘		http://www.pwhl.or.kr							
https://femiwiki.com/?curid=76761	부산여성회			페미니즘,노동							여성노동연대회의		
https://femiwiki.com/?curid=28320	부산페미네트워크			페미니즘									
https://femiwiki.com/?curid=76762	부천새시대여성회			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76763	부천여성노동자회		부천	페미니즘, 노동							여성노동연대회의		
https://femiwiki.com/?curid=76764	부천여성의전화			페미니즘		https://bwhotline.or.kr							
https://femiwiki.com/?curid=1972	불꽃페미액션			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76765	비컴트루	광주광역시 비혼여성공동체 비컴트루		페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76766	빵과장미	변혁적여성운동네트워크 빵과장미		페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76767	사람과사람	고려대학교 성소수자 동아리 사람과사람	서울	퀴어	고려대학교					https://twitter.com/kueerp2p			
https://femiwiki.com/?curid=76768	새움터			페미니즘							한국여성단체연합		
https://femiwiki.com/?curid=76769	서대문여성회(준)		서울	페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76770	서울강서양선여성의전화			페미니즘		http://www.womengo.org							
https://femiwiki.com/?curid=5117	서울국제여성영화제			페미니즘		http://www.siwff.or.kr							
https://femiwiki.com/?curid=76771	서울대학교 여성연구소			페미니즘	서울대학교	http://igender.snu.ac.kr/							
https://femiwiki.com/?curid=75292	서울여성노동자회		서울	페미니즘, 노동							여성노동연대회의		
https://femiwiki.com/?curid=42668	서울여성회		서울	페미니즘					https://linktr.ee/seoulwomen1		윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76772	서울인권영화제		서울	페미니즘							윤석열 OUT 성차별 OUT 페미니스트들,윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76773	서울지역대학인권연합동아리			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=60989	서페대연	서울여성회 페미니스트 대학생 연합동아리	서울	페미니즘	*						윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76774	석순	고려대 여성주의 교지편집위원회 석순	서울	페미니즘	고려대학교			https://www.facebook.com/kusuksoon1983		https://twitter.com/kusuksoon	윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76775	성공회대 실천여성학 18기			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76776	성공회대 실천여성학전공 17기			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76777	성공회대학교 인권위원회		서울	페미니즘							젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76778	성남여성의전화			페미니즘		http://www.snwhotline.or.kr/							
https://femiwiki.com/?curid=4827	성매매문제해결을위한전국연대			페미니즘		http://www.jkyd2004.org					한국여성단체연합		
https://femiwiki.com/?curid=76779	성인지예산전국네트워크			페미니즘		http://cafe.daum.net/genderbudget					한국여성단체연합		
https://femiwiki.com/?curid=76780	성평등 팟캐스트 어바라			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76781	세계여/성노동자대회			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76655	세상의 절반	경상국립대학교 페미니즘 동아리 세상의 절반	진주	페미니즘	경상국립대학교		https://www.instagram.com/half_otw/				윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76782	세종여성		세종	페미니즘		https://sjwomen.or.kr/					한국여성단체연합		
https://femiwiki.com/?curid=1916	셰도우 핀즈					http://weareshadowpins.com/				https://x.com/Shadow__Pins			
https://femiwiki.com/?curid=3491	소냐의집												
https://femiwiki.com/?curid=76783	소수자들	보은여자고등학교 인권동아리 소수자들	보은	페미니즘,퀴어,청소년,장애인권,유색인종	보은여자고등학교					https://twitter.com/Minorities_club			
https://femiwiki.com/?curid=1373	소울드레서												
https://femiwiki.com/?curid=3412	손	성노동자 네트워크 손		페미니즘,성노동									
https://femiwiki.com/?curid=76784	솔찬	이화여대 비거니즘 지향 자치단위 솔찬	서울	페미니즘	이화여자대학교						윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76785	수요일의 페미니즘	경상대학교 여성주의 모임 수요일의 페미니즘	진주	페미니즘	경상국립대학교			https://www.facebook.com/wednesdayfeminism		https://twitter.com/wednesdayfemi			
https://femiwiki.com/?curid=74111	수원여성노동자회		수원	페미니즘, 노동							여성노동연대회의		
https://femiwiki.com/?curid=76786	수원여성의전화			페미니즘		http://www.suwonhotline.or.kr							
https://femiwiki.com/?curid=73897	수원여성회		경기	페미니즘		http://www.swa.or.kr/					한국여성단체연합		
https://femiwiki.com/?curid=76787	숙명여자대학교 아시아여성연구소			페미니즘	숙명여자대학교	https://asianfem.sookmyung.ac.kr/							
https://femiwiki.com/?curid=76788	순	경희대학교 여성주의 웹진 순	서울	페미니즘	경희대학교			https://www.facebook.com/magazinesoon2					
https://femiwiki.com/?curid=76789	순항			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=1080	숲속갓치들												
https://femiwiki.com/?curid=76790	시소	고려대학교 미디어학부 여성주의 학회 시소:시끄러운 소리	서울	페미니즘	고려대학교			https://www.facebook.com/mediaseesaw2016					
https://femiwiki.com/?curid=76791	시절음식연구회			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76792	시흥여성의전화			페미니즘		http://www.shwhl.org/							
https://femiwiki.com/?curid=3091	신여성			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=17092	싫다잖아	부산대학교 페미니즘 소모임 싫다잖아	부산	페미니즘	부산대학교					https://twitter.com/nomeansno___			
https://femiwiki.com/?curid=3425	십대섹슈얼리티인권모임			청소년									
https://femiwiki.com/?curid=3424	십대여성인권센터			페미니즘									
https://femiwiki.com/?curid=76794	싹둑	동덕여자대학교 레디컬 페미니즘 동아리 싹둑	서울	페미니즘	동덕여자대학교		https://www.instagram.com/ssak_ddu_k/						
https://femiwiki.com/?curid=666	쌍코												
https://femiwiki.com/?curid=76795	아레프	래디컬레즈비언페미니스트(RLF)아레프		페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=1833	아름드리 위키			페미니즘									
